ref_id,cell_group,cell_type,cell_subtype,rank_filter,min_confidence,marker1,rule1,marker2,rule2,marker3,rule3
1,epithelial,tumor_cell,EpCam,positive_only,10,EpCam,medium,,,,
1,epithelial,tumor,PanCK,positive_only,10,PanCK,medium,,,,
1,immune,pan_leukocytes_pos,CD45,positive_only,10,CD45,medium,,,,
1,stromal,fibroblast,Vim,positive_only,10,Vimentin,high,,,,
1,vascular,endothelium,CD31-CAV,positive_only,10,Caveolin,high,CD31,medium,,
2,epithelial,tumor_cycling,Ki67-PCNA,positive_only,10,PCNA,medium,Ki67,high,,
2,stroma,connective,tissue,positive_only,10,Vimentin,high,,,,
2,epithelial,basal_squamous_like,KRT5,positive_only,10,KRT5,high,,,,
3,checkpoint,ICOS_expression,ICOS,positive_only,10,ICOS,high,,,,
3,epithelial,cancer,cells,positive_only,10,bCatenin1,medium,PanCK,medium,,
3,stroma,connective,tissue,positive_only,10,Vimentin,high,,,,
3,vascular,endothelium,CAV,positive_only,10,Caveolin,high,,,,
3,epithelial,tumor_cycling,PCNA,positive_only,10,PCNA,medium,,,,
